Age(years),Height (m),Weight (kg),BMR (MJ/day),PAL 1.2 (MJ/day),PAL 1.4 (MJ/day),PAL 1.6 (MJ/day),PAL 1.8 (MJ/day),PAL 2.0 (MJ/day),PAL 2.2 (MJ/day)
30,1.5,56.3,5.2,6.1,7.1,8.2,9.2,10.2,11.2
30,1.6,63.6,5.6,6.6,7.7,8.8,9.9,11.1,12.2
30,1.7,71.3,6,7.2,8.4,9.6,10.8,12,13.2
30,1.8,79.4,6.5,7.7,9,10.3,11.6,12.9,14.2
30,1.9,88,7,8.4,9.7,11.1,12.5,13.9,15.3
50,1.5,56.3,5.2,6.3,8.3,8.4,9.4,10.4,11.5
50,1.6,63.6,5.5,6.5,7.6,8.7,9.8,10.9,12
50,1.7,71.3,5.7,6.8,8,9.1,10.3,11.4,12.5
50,1.8,79.4,6,7.2,8.3,9.5,70.7,11.9,13.1
50,1.9,88,6.2,7.5,8.7,10,11.2,12.5,13.7
70,1.5,56.3,4.9,6,6.9,7.9,8.9,9.8,10.9
70,1.6,63.6,5.2,6.2,7.3,8.3,9.3,10.4,11.4
70,1.7,71.3,5.4,6.5,7.6,8.7,9.8,10.7,12
70,1.8,79.4,5.7,6.9,8,9.1,10.3,11.4,12.6
70,1.9,88,6,7.2,8.4,9.6,10.8,12,13.2
110,1.5,56.3,4.6,5.6,6.5,7.4,8.3,9.3,10.2
110,1.6,63.6,4.9,5.9,6.9,7.8,8.8,9.8,10.8
110,1.7,71.3,6.2,6.2,7.2,8.3,9.3,10.3,11.4
110,1.8,79.4,5.5,6.6,7.7,8.7,9.8,10.9,12
110,1.9,88,5.8,6.9,8.1,9.2,10.4,11.5,12.7
